<Cced/,Ç
<uum/,ü
<eacute/,é
<acir/,â
<aum/,ä
<agrave/,à
<aring/,å
<cced/,ç
<ecir/,ê
<eum/,ë
<egrave/,è
<ium/,ï
<icir/,î
<igrave/,ì
<Aum/,Ä
<Eacute/,É
<ae/,æ
<AE/,Æ
<ocir/,ô
<oum/,ö
<ograve/,ò
<ucir/,û
<ugrave/,ù
<yum/,ÿ
<Oum/,Ö
<Uum/,Ü
<pound/,£
<aacute/,á
<iacute/,í
<oacute/,ó
<uacute/,ú
<ntil/,ñ
<Ntil/,Ñ
<frac23/,⅔
<frac13/,⅓
<sec/,˝
<frac12/,½
<frac14/,¼
<?/,?
<hand/,☞
<bprime/,˝
<prime/,´
<rdquo/,”
<sect/,§
<ldquo/,“
<amac/,ā
<lsquo/,‘
<nsm/,ṉ
<sharp/,♯
<flat/,♭
<th/,ð
<imac/,ī
<emac/,ē
<dsdot/,ḍ
<nsdot/,ṇ
<tsdot/,ṭ
<ecr/,ĕ
<icr/,ĭ
<ocr/,ŏ
-,‐
--,—
<OE/,Œ
<oe/,œ
<omac/,ō
<umac/,ū
<ocar/,ǒ
<aemac/,ǣ
<oemac/,ō
<ucr/,ŭ
<acr/,ă
<cre/,˘
<ymac/,ȳ
<asl/,a
<esl/,e
<isl/,i
<osl/,o
<usl/,u
<adot/,ȧ
<th/,ð
<edh/,ð
<thorn/,þ
<atil/,ã
<ndot/,ṅ
<rsdot/,ṛ
<yogh/,ȝ
<mdash/,—
<divide/,÷
<deg/,°
<middot/,•
<root/,√
